pl_name,pl_orbper,pl_orbpererr1,pl_orbeccen,pl_orbeccenerr1,pl_orbincl,pl_orbinclerr1,pl_tranmid,pl_tranmiderr1,pl_ratdor,pl_ratdorerr1,pl_ratror,pl_ratrorerr1,pl_orblper,pl_orblpererr1,st_teff,st_met,st_logg
XO-7 b,2.8641424,0.0000043,0.038,0.033,83.45,0.29,2457917.475,0.00045,6.43,0.14,0.09532,0.00093,,,6250,0.432,4.25
XO-7 b,2.86413545,0.00000096,,,,,2458793.901,0.00012,,,,,,,,,
XO-7 b,2.8641324,0.0000007,,,,,2459962.467,0.000162,,,,,,,6082,,4.13
XO-7 b,2.8641413,0.000004,,,,,2459034.488,0.00015,6.08,0.12,0.0941,0.001,,,6250,0.432,4.25
XO-6 b,3.7650007,0.0000081,0,,86,0.2,2456652.712,0.00055,9.08,0.17,0.11,0.006,,,6720,-0.07,4.04
XO-6 b,3.7649939,0.0000013,,,,,2458843.939,0.00012,,,,,,,6720,-0.07,4.04
XO-6 b,3.7649925,0.0000014,,,,,2459032.189,0.000087,,,,,,,,,
XO-6 b,3.7649921,0.0000005,,,,,2459962.142,0.000102,,,,,,,6724,,4.29
XO-6 b,3.7649916,0.0000034,,,,,2459032.189,0.00015,8.17,0.07,0.1158,0.001,,,6720,-0.07,4.04
XO-5 b,4.1877558,0.0000006,0,,86.8,0.2,2456864.313,0.0002,,,0.1039,0.0007,,,5430,0.05,4.35
XO-5 b,4.18776,,0,,,,,,,,,,331.01,0.72,5470,0.05,
XO-5 b,,,0.013,0.014,,,,,,,,,184,92,,0.05,
XO-5 b,4.18783748,0.00018415,,,,,2459582.167,0.000546,,,,,,,5521.95,,4.34
XO-5 b,4.1877539,0.0000014,,,,,2455218.526,0.00045,,,,,,,,,
XO-5 b,4.187757,0.000011,,,87.04,0.65,,,9.9602,0.511,,,,,5370,0.05,4.34
XO-5 b,4.18775581,0.00000058,0.021,,86.7,0.4,2456864.314,0.00023,,,,,,,5370,0.05,
XO-5 b,4.187732,0.00002,,,86.8,0.9,2454485.666,0.0004,9.81,0.8,0.106,0.003,,,5510,0.25,4.52
XO-5 b,4.1877562,0.0000006,,,,,2455469.791,0.0003,,,,,,,5510,0.25,4.52
XO-5 b,4.187757,0.000011,,,86.7,0.4,2454552.672,0.00029,,,,,,,5370,,
XO-4 b,4.1250828,0.000004,0,,88.8,0.6,2454485.933,0.00039,7.68,0.11,0.0881,0.0007,,,,,
XO-4 b,4.1250679,0.0000006,,,,,2455682.204,0.00023,,,,,,,5700,-0.04,4.18
XO-4 b,4.1250622,0.0000019,,,,,2459959.896,0.000287,,,,,,,6304,,4.11
XO-4 b,4.12508,0.000004,0,,88.8,0.6,,,7.68,0.11,,,,,6397,-0.04,4.18
XO-4 b,4.1250672,0.000002,,,,,2455933.833,0.00085,,,,,,,,,
XO-4 b,,,0.002,0.012,,,,,,,,,240,39,,-0.03,
XO-4 b,4.1250828,0.000004,,,89.9,0.1,,,7.6923,0.3141,,,,,6397,-0.04,4.18
XO-4 b,4.12502,0.00002,,,89.9,0.1,,,7.6923,0.3141,,,,,6397,-0.04,4.18
XO-4 b,4.1250823,0.0000039,0.0039,,88.7,1.1,2454485.933,0.00036,,,,,,,6400,-0.04,
XO-3 b,3.19153285,0.00000058,0.27587,0.00071,84.2,0.54,2455292.433,0.00015,,,,,349.35,0.67,6430,-0.177,
XO-3 b,3.19154,0.00014,0.29,0,79.32,1.36,,,4.95,0.18,,,,,6429,-0.18,3.95
XO-3 b,,,,,,,,,,,,,,,6673,-0.04,4.13
XO-3 b,,,,,,,,,,,0.0915,0.0006,,,6781,-0.08,4.23
XO-3 b,3.191523,,0.285,0.003,85.1,0.7,2454449.868,,,,0.1005,0.0019,348.9,1.5,,,
XO-3 b,3.1915239,0.0000068,0.26,0.017,84.2,0.54,2454449.868,0.00023,,,,,345.8,7.3,6429,,
XO-3 b,3.191561,0.000078,,,,,2458828.64,0.00031,7.09,0.24,0.0888,0.0011,,,6429,-0.18,3.95
XO-3 b,3.1915241,0.0000016,,,,,2459936.097,0.000229,,,,,,,6673,,4.13
XO-3 b,,,0.2833,0.0034,,,,,,,,,346.8,1.6,,-0.05,
XO-3 b,3.1915289,0.0000032,,,83.89,0.4,,,6.9109,0.2269,,,,,6429,-0.18,4.22
XO-3 b,3.19153247,0.00000055,0.2769,0.0017,84.11,0.16,2456419.044,0.00026,7.052,0.076,0.08825,0.00037,347.2,1.7,6673,-0.04,4.13
XO-3 b,3.1915426,0.00014,0.26,0.017,79.32,1.36,2454025.397,0.0038,,,,,-15.4,6.6,6429,-0.177,3.95
XO-3 b,3.191524,0.000001,,,,,2454178.589,0.00071,,,,,,,,,
XO-3 b,3.191525,0.0000003,,,,,2455024.343,0.00013,,,,,,,6429,-0.177,3.95
XO-2 S c,120.8,0.34,0.1528,0.0094,,,,,,,,,264.5,4.9,5399,0.39,4.43
XO-2 S b,18.157,0.034,0.18,0.04,,,,,,,,,,,5399,0.39,4.43
XO-2 S b,18.157,0.034,0.18,0.035,,,,,,,,,311.9,9.5,5399,0.39,4.43
XO-2 N b,2.61585978,0.00000019,,,,,2456923.177,0.00015,,,,,,,5340,,
XO-2 N b,2.615857,,,,88.9,0.6,,,8.2,0.1,0.10395,0.0009,,,5340,,
XO-2 N b,2.61585922,0.00000028,0.006,,87.96,0.42,2455565.546,0.000054,,,,,,,5332,0.43,
XO-2 N b,2.615864,0.0000016,,,,,2454466.885,0.00012,,,,,,,,,
XO-2 N b,2.61585922,0.00000028,0.006,,,,2455565.546,0.000054,,,,,,,5332,0.43,4.44
XO-2 N b,2.61585906,0.00000025,,,,,2456737.451,0.0002,,,,,,,,,
XO-2 N b,2.6158597,0.0000009,,,,,2459957.574,0.000204,,,,,,,5267,,4.32
XO-2 N b,2.615864,0.0000016,,,88.8,1.2,,,8.0841,0.3193,,,,,5340,0.45,4.44
XO-2 N b,2.615864,0.0000016,,,88.8,1.2,,,8.0841,0.3193,,,,,5340,0.45,4.44
XO-2 N b,2.61586178,,0,,88.01,,,,7.986,,,,,,5343,0.39,4.49
XO-2 N b,2.61586178,,,,88.01,0.33,2454508.738,0.00014,7.986,0.074,0.10304,0.00037,,,,,4.43
XO-2 N b,,,0.028,0.038,,,,,,,,,261,11,,0.35,
XO-2 N b,2.61585779,0.00000043,,,,,2455139.161,0.00013,,,0.1036,0.0013,,,5267,0.38,4.32
XO-1 b,3.941534,,,,88.81,0.7,,,11.55,0.03,0.1326,0.0004,,,,,
XO-1 b,3.9415041,0.0000019,,,,,2459713.292,0.000309,,,,,,,5729,,4.52
XO-1 b,3.941505,0.00000018,,,,,2455385.52,0.00005,,,,,,,,,
XO-1 b,3.941501,0.000001,,,,,2453808.917,0.00009,,,,,,,5729,-0.08,4.52
XO-1 b,3.94150465,0.00000041,,,,,2456055.576,0.00016,,,,,,,,,
XO-1 b,,,,,89.31,0.46,2453887.747,0.00014,,,0.13102,0.00064,,,,,
XO-1 b,3.94150685,0.00000202,0,,88.8,0.2,2453887.748,0.00025,,,,,,,5750,,
XO-1 b,3.941534,0.000027,,,87.7,1.2,2453808.917,0.0011,,,,,,,5750,0.015,4.43
XO-1 b,3.941516,0.000023,,,,,2458968.347,0.00014,11.04,0.28,0.1315,0.0016,,,5750,0.02,4.51
XO-1 b,3.94153,0.000027,0,,88.81,0.5,,,11.37,0.47,,,,,5750,0.02,4.51
XO-1 b,3.94150685,0.00000018,0.019,,88.81,0.7,2453887.748,0.00022,,,,,,,5750,0.02,
XO-1 b,3.9415128,0.0000028,,,89.06,0.84,,,11.287,0.247,,,,,5750,0.02,4.51
XO-1 b,3.941634,0.000137,,,88.92,1.04,2453150.685,0.0018,,,0.138,0.02,,,,,
XO-1 b,3.9415128,0.0000028,,,,,2453808.917,0.00013,,,,,,,5750,0.058,4.53
Wolf 503 b,6.00127,0.000021,0.409,0.085,89.87,0.13,2458191.361,0.00011,,,,,,,4716,-0.47,
Wolf 503 b,6.00118,0.00008,,,,,2458185.361,0.00053,,,0.02694,0.00026,,,4716,-0.47,4.62
Wolf 503 b,6.00127,0.000021,0.41,0.05,,,2458191.361,0.00011,,,0.02791,0.00049,112,10,4716,-0.47,4.62
Wolf 1069 b,15.564,0.015,,,,,,,,,,,,,3158,0.07,4.93
Wolf 1061 d,67.27,0.12,0.32,0.16,,,,,,,,,102,70,3393,,
Wolf 1061 d,217.21,0.55,0.55,0.08,,,,,,,,,,,3342,-0.09,
Wolf 1061 c,17.8719,0.0059,0.11,0.1,,,,,,,,,,,3342,-0.09,
Wolf 1061 c,17.867,0.011,0.19,0.13,,,,,,,,,37,47,3393,,
Wolf 1061 b,4.8869,0.0005,0.15,0.13,,,,,,,,,,,3342,-0.09,
Wolf 1061 b,4.8876,0.0014,0,,,,,,,,,,,,3393,,
Wendelstein-2 b,1.7522239,0.0000008,0.057,,87.87,0.98,2455679.254,0.000013,,,0.176,0.004,,,4591,,
Wendelstein-2 b,1.75221702,0.00001299,,,,,2459420.283,0.001505,,,,,,,4355,,4.53
Wendelstein-1 b,2.66341539,0.00000902,,,,,2459421.463,0.000738,,,,,,,4051,,4.55
Wendelstein-1 b,2.663416,0.000001,0.012,,86.12,0.43,2455367.738,0.000014,,,0.1698,0.001,,,4251,,
WTS-2 b,1.0187068,0.00000065,0.35,,83.55,0.53,2454317.813,0.00065,,,,,293,29,5000,0.2,
WTS-2 b,1.0187068,0.00000065,0,,83.55,0.53,2454317.813,0.00065,,,0.1863,0.0021,,,5000,0.2,4.6
WTS-2 b,1.01869894,0.00000389,,,,,2459769.924,0.002114,,,,,,,5780,,4.44
WTS-1 b,3.352057,0.000013,0.1,,85.5,1,2454318.747,0.0043,,,0.1328,0.0032,,,6250,-0.5,4.4
WISEP J121756.91+162640.2 A b,,,,,,,,,,,,,,,575,,5
WISE J033605.05-014350.4 b,2560,730,,,,,,,,,,,,,415,,
WD 1856+534 b,1.40793693,0.00000339,,,,,2459419.987,0.034628,,,,,,,5780,,4.44
WD 1856+534 b,1.4079405,0.0000011,0,,88.778,0.059,2458779.375,0.000003,336,14,7.28,0.65,,,4710,,7.92
WD 0806-661 b,,,,,,,,,,,,,,,,,
WD 0806-661 b,,,,,,,,,,,,,,,,,
WASP-99 b,5.75251,0.00004,0,,88.8,1.1,2456224.982,0.0014,,,,,,,6180,0.21,4.12
WASP-99 b,5.75251,0.00004,0.01,,88.8,1.1,2456224.983,0.0014,,,,,,,6150,0.21,
WASP-99 b,5.75258217,0.00000249,,,,,2459135.796,0.000239,,,,,,,6180,,4.12
WASP-99 b,5.7525835,0.0000024,,,,,2459141.549,0.00018,8.71,0.04,0.0678,0.0003,,,6150,0.21,4.3
WASP-99 b,5.75251,0.00004,0,,88.8,1.1,,,8.77,0.47,,,,,6150,0.21,4.3
WASP-99 b,5.7525907,0.0000026,,,,,2458387.959,0.0003,,,,,,,,,
WASP-98 b,2.9626415,0.0000004,,,,,2456840.004,0.00008,,,,,,,5525,-0.6,4.58
WASP-98 b,2.96264,0.0000013,0,,86.3,0.1,2456333.391,0.0001,,,,,,,5525,-0.6,4.58
WASP-98 b,2.9626402,0.00000149,,,,,2459168.639,0.000311,,,,,,,5473,,4.61
WASP-98 b,2.96264133,0.00000029,,,,,2458413.166,0.00013,,,,,,,,,
WASP-98 b,2.96264036,0.00000043,,,86.38,0.07,2456333.392,0.000082,10.92,0.08,0.15824,0.00081,,,5473,-0.49,4.61
WASP-98 b,2.96264,0.0000013,0.07,,86.3,0.1,2456333.392,0.0001,,,,,,,5550,-0.6,
WASP-97 b,2.0727598,0.0000003,,,,,2459112.048,0.00009,6.32,0.08,0.1093,0.0007,,,5640,0.23,4.45
WASP-97 b,2.07276,0.0000003,,,,,2457186.454,0.00015,,,,,,,5640,0.23,4.43
WASP-97 b,2.07275948,0.00000045,,,,,2458355.49,0.000062,,,,,,,5640,,4.44
WASP-97 b,2.07276,0.000001,0,,88,1.3,2456438.187,0.00018,,,,,,,5640,0.23,4.43
WASP-97 b,2.07275975,0.00000023,,,,,2458355.49,0.000071,,,,,,,,,
WASP-97 b,2.07276,0.000001,0.019,,88,1.3,2456438.188,0.00018,,,,,,,5670,0.23,
WASP-97 b,2.07276,0.000001,0,,88,1.15,,,6.72,0.28,,,,,5640,0.23,4.45
WASP-96 b,3.4252602,0.0000027,0,,85.6,0.2,2456258.062,0.0002,,,,,,,5540,0.14,4.42
WASP-96 b,3.42525675,0.0000024,,,,,2458354.32,0.000278,,,,,,,5540,,4.42
WASP-96 b,3.4252563,0.00000049,,,,,2458354.32,0.00016,,,,,,,,,
WASP-96 b,3.4252602,0.0000027,0.11,,85.6,0.2,2456258.063,0.0002,,,,,,,5500,0.14,
WASP-96 b,3.4252565,0.0000008,,,,,2457128.078,0.00022,,,,,,,5540,0.14,4.42
WASP-96 b,3.4252577,0.0000017,,,,,2459111.302,0.00031,9.03,0.3,0.1186,0.0016,,,5540,0.14,4.42
WASP-95 b,2.184673,0.0000014,0,,88.4,1.2,2456338.459,0.00024,,,,,,,5630,0.14,4.38
WASP-95 b,2.18466629,0.00000023,,,,,2458326.506,0.00007,,,,,,,,,
WASP-95 b,2.18467,0.000001,0,,88.4,1.65,,,6.51,0.39,,,,,5830,0.14,4.36
WASP-95 b,2.1846665,0.0000003,,,,,2459084.585,0.00008,5.89,0.06,0.1025,0.0005,,,5830,0.14,4.36
WASP-95 b,2.18466695,0.00000049,,,,,2459084.585,0.00011,,,,,,,5630,,4.38
WASP-95 b,2.184673,0.0000014,0.018,,88.4,1.2,2456338.459,0.00024,,,,,,,5830,0.14,
WASP-95 b,2.1846688,0.0000006,,,,,2456607.174,0.00023,,,,,,,5630,0.14,4.38
WASP-94 B b,2.00839,0.00024,0,,,,,,,,,,,,6040,0.23,4.26
WASP-94 A b,3.95020049,0.00000079,,,,,2458328.299,0.00015,,,,,,,,,
WASP-94 A b,3.95020094,0.0000016,,,,,2459039.336,0.000386,,,,,,,6153,,4.18
WASP-94 A b,3.9501907,0.0000037,0.064,,88.7,0.7,2456416.402,0.00026,,,,,,,6153,0.26,
WASP-94 A b,3.95019,0.000004,0,,88.7,0.7,,,8.44,0.84,,,,,6170,0.26,4.27
WASP-94 A b,3.9501907,0.0000044,0.13,,88.7,0.7,2456416.401,0.00026,,,,,,,6153,0.26,4.18
WASP-93 b,2.73248092,0.00009526,,,,,2459855.932,0.000548,,,,,,,6695,,4.17
WASP-93 b,2.7325321,0.000002,0,,81.18,0.29,2456079.564,0.00045,5.938,0.133,,,0,,6700,0.07,4.2
WASP-93 b,2.7325321,0.0000017,,,,,2458773.847,0.00033,6.73,1.97,0.1022,0.0058,,,6700,0.07,4.2
WASP-93 b,2.7325559,0.0000073,,,82.27,0.58,2456079.553,0.00457,6.45,0.35,0.0873,0.0025,,,,,
WASP-93 b,2.7325358,0.0000007,,,,,2457492.286,0.0003,,,,,,,6700,0.07,4.2
WASP-93 b,2.7325375,0.000001,,,,,2458765.649,0.00048,,,,,,,,,
WASP-92 b,2.1746733,0.0000006,,,,,2457627.372,0.0003,,,,,,,6280,0,4.26
WASP-92 b,2.17467311,0.00000032,,,,,2458930.001,0.00024,,,,,,,,,
WASP-92 b,2.17470624,0.00000183,,,,,2459717.232,0.000649,,,,,,,6046.76,,4.29
WASP-92 b,2.1746742,0.0000014,,,,,2459008.289,0.00027,5.56,0.31,0.1068,0.0015,,,6280,0,4.26
WASP-92 b,2.1746742,0.0000016,0,,83.75,0.69,2456381.283,0.00027,5.587,0.217,,,0,,6280,0,4.26
WASP-92 b,2.1746949,0.0000046,,,84.65,1.81,2456381.268,0.0031,5.91,0.51,0.0963,0.0017,,,,,
WASP-91 b,2.798579,0.0000006,,,,,2459085.104,0.0001,9.26,0.17,0.1207,0.0012,,,4920,0.19,4.3
WASP-91 b,2.79857949,0.00000031,,,,,2458326.689,0.000087,,,,,,,,,
WASP-91 b,2.798581,0.000003,0,,86.8,0.4,2456297.719,0.0002,9.1,0.3,,,,,4920,0.19,4.3
WASP-91 b,2.79857944,0.00000063,,,,,2459037.528,0.000256,,,,,,,4920,,4.49
WASP-90 b,3.9162624,0.0000013,,,,,2457003.152,0.0004,,,,,,,6430,0.11,4.03
WASP-90 b,3.9156848,0.00045164,,,,,2459799.367,0.001461,,,,,,,6228,,3.99
WASP-90 b,3.916243,0.000003,0,,82.1,0.4,2456235.564,0.0005,,,,,,,6430,0.11,4.03
WASP-89 b,3.3564182,0.0000005,,,,,2456398.338,0.00012,,,,,,,5130,0.15,4.51
WASP-89 b,3.3564227,0.0000025,0.193,0.009,89.4,0.5,2456207.021,0.00012,,,,,28,4,5130,0.15,4.51
WASP-89 b,3.3564227,0.0000025,0.1928,0.01,89.4,0.5,2456207.022,0.00012,,,,,27.9,3.6,5000,0.15,
WASP-88 b,4.95496311,0.00048053,,,,,2459040.905,0.001024,,,,,,,6282.4,,3.93
WASP-88 b,4.9540021,0.0000022,,,,,2458005.518,0.0006,,,,,,,6431,-0.08,3.96
WASP-88 b,4.954,0.000019,0,,88,1.45,,,6.67,0.31,,,,,6430,-0.08,3.96
WASP-88 b,4.954,0.000019,0,,88,1.4,2456474.732,0.00085,6.64,0.17,0.084,0.002,,,6431,-0.08,3.96
WASP-88 b,4.954,0.000019,0.13,,88,1.4,2456474.732,0.00086,,,,,,,6430,-0.08,
WASP-87 b,1.68278959,0.00004584,,,,,2459308.414,0.000375,,,,,,,6271,,4.08
WASP-87 b,1.682795,0.0000019,0,,81.07,0.63,2457082.077,0.00021,,,,,,,6450,,
WASP-87 b,1.68279426,0.0000004,,,,,2458571.35,0.00014,,,,,,,,,
WASP-85 A b,2.6556817,0.0000043,,,,,2456810.293,0.00073,,,0.11478,0.00053,,,5426,,4.5
WASP-85 A b,2.6556765,0.0000004,,,,,2456847.473,0.00001,,,,,,,5634.18,0.118,
WASP-85 A b,2.655676,0.0000017,,,,,2456812.949,0.000027,7.834,0.09,0.11512,0.00083,,,,,
WASP-85 A b,2.65662719,,,,,,2456818.249,,,,,,,,5634.18,0.118,
WASP-85 A b,2.6556852,,,,,,2456810.293,,,,0.1092,,,,5192,,
WASP-85 A b,2.65567525,0.000011,,,,,2459553.605,0.000166,,,,,,,5817.3,,
WASP-85 A b,2.6556777,0.00000044,0,,89.69,0.11,2456847.473,0.000014,,,,,,,6112,,
WASP-84 c,1.4468849,0.0000022,,,83.2,0.51,2457952.454,0.0018,6.61,0.22,0.0233,0.0014,,,,,
WASP-84 c,1.4468993,0.0000058,,,,,2459985.332,0.00234,,,,,,,5238,,4.54
WASP-84 b,8.5234962,0.0000037,0,,88.272,0.037,2456448.052,0.000069,21.69,0.19,,,,,5280,0.09,4.6
WASP-84 b,8.523499,0.000004,,,,,2456422.483,0.00014,,,,,,,5314,0,4.4
WASP-84 b,8.5234865,0.000007,0.077,,88.368,0.05,2456286.107,0.00009,,,,,,,5300,0,
WASP-84 b,8.5234865,0.000007,0,,88.368,0.05,2456286.106,0.00009,,,,,,,5314,0,4.4
WASP-84 b,8.52349648,0.0000006,,,88.292,0.045,2457956.712,0.00011,21.78,0.21,0.12793,0.00058,,,,,
WASP-84 b,8.5234964,0.0000021,,,,,2459235.236,0.00037,,,,,,,,,
WASP-84 b,8.5234958,0.000003,,,,,2459985.304,0.000178,,,,,,,5238,,4.54
WASP-83 b,4.971298,0.0000046,,,,,2459329.25,0.000441,,,,,,,5510,,4.44
WASP-83 b,4.971252,0.000015,0,,88.9,0.7,2455928.885,0.0004,,,,,,,5510,0.29,4.44
WASP-83 b,4.9712917,0.0000012,,,,,2457121.996,0.0003,,,,,,,5510,0.29,4.44
WASP-83 b,4.97129185,0.00000077,,,,,2458205.738,0.00022,,,,,,,,,
WASP-83 b,4.971251,0.000014,,,,,2458578.585,0.00042,12.1,0.46,0.1006,0.002,,,5510,0.29,4.44
WASP-83 b,4.971252,0.000015,0.12,,88.9,0.7,2455928.886,0.0004,,,,,,,5480,0.29,
WASP-82 b,2.70579,0.000002,,,,,2458449.79,0.00017,4.42,0.04,0.0773,0.0004,,,6480,0.12,3.96
WASP-82 b,2.705782,0.000003,0,,87.9,1.4,2456157.99,0.0005,,,,,,,6490,0.12,3.97
WASP-82 b,2.70579,0.000002,0,,87.9,1.65,,,4.43,0.15,,,,,6480,0.12,3.96
WASP-82 b,2.70578373,0.0000006,,,,,2456931.845,0.00031,,,,,,,,,
WASP-82 b,2.70582,0.00008,,,,,2458438.966,0.0004,,,,,,,6441.6,,3.91
WASP-82 b,2.705785,0.000002,0,,86.6,2,2456931.844,0.0008,,,,,,,6480,0.1,3.96
WASP-81 b,2.7164762,0.0000023,0.066,,88.69,0.88,2456195.575,0.00023,6.56,0.13,,,,,5870,-0.36,4.26
WASP-81 b,2.7164835,0.0000004,,,,,2456969.773,0.0002,,,,,,,5870,-0.36,4.26
WASP-81 b,2.71612982,0.00018054,,,,,2459770.471,0.000997,,,,,,,5962,,4.33
WASP-80 b,3.06785952,0.00000077,0,,88.91,,2456125.418,0.000086,12.6119,,,,,,4100,,4.5
WASP-80 b,3.06785234,0.00000083,0.002,0.01,89.02,0.11,2456487.425,0.000023,12.63,0.08,0.17137,0.00037,94,120,4143,-0.13,4.66
WASP-80 b,3.06785952,0.00000077,0.02,,89.92,0.07,2456125.418,0.000086,,,,,,,4150,-0.14,
WASP-80 b,3.0678527,0.0000012,,,,,2456824.888,0.00022,,,,,,,,,
WASP-80 b,,,,,,,,,,,,,,,,,4.67
WASP-80 b,3.06781599,0.00002486,,,,,2459770.027,0.000121,,,,,,,3965,,4.62
WASP-80 b,3.1,,0,,,,,,,,,,,,4150,,
WASP-80 b,3.0678504,0.0000023,0.07,,89.92,0.07,2456125.418,0.000067,12.9887,0.0287,0.17126,0.00031,,,4145,-0.14,4.69
WASP-80 b,3.06785271,0.00000019,,,,,2456671.496,0.00004,,,,,,,4145,-0.14,4.69
WASP-8 c,4323,740,0,0,,,,,,,,,90,0,,0.17,
WASP-8 b,8.2,,0.3,,,,,,,,,,,,5600,,
WASP-8 b,8.15872,0.000015,0.31,0,88.55,0.16,,,18.28,0.91,,,,,5600,0.17,4.5
WASP-8 b,8.158715,0.000016,0.3057,0.0046,88.55,0.15,2454679.335,0.00047,,,,,274.21,0.33,5600,0.17,
WASP-8 b,8.15845453,0.00024581,,,,,2458358.92,0.00017,,,,,,,5600,,4.51
WASP-8 b,8.1587289,0.0000013,,,,,2458358.921,0.00029,,,,,,,,,
WASP-8 b,8.158715,0.000016,0.304,0.004,88.55,0.15,2454679.334,0.0005,18.2,0.83,,,274.22,0.084,5600,,4.5
WASP-8 b,8.158715,0.000016,0.31,0.0029,88.55,0.15,2454679.334,0.0005,18.2149,0.8327,0.113,0.0015,-85.73,0.17,5600,,
WASP-8 b,8.158724,0.000014,0.3044,0.0039,,,,,,,,,274.215,0.084,,0.17,
WASP-79 b,3.6623866,0.0000085,0,,83.3,0.5,2455545.235,0.0015,,,,,,,6600,,4.06
WASP-79 b,3.6623925,0.0000021,,,,,2458200.473,0.00018,,,,,,,6600,,4.06
WASP-79 b,3.66239222,0.00000062,,,,,2458412.892,0.000096,,,,,,,,,
WASP-79 b,3.6623866,0.0000085,0.066,,84.3,1.6,2455545.236,0.0015,,,,,,,6600,0.03,
WASP-79 b,3.66239178,0.00000069,,,,,2459174.669,0.000263,,,,,,,6600,,4.21
WASP-79 b,3.662392,0.000004,0,,86.1,0.2,2456215.456,0.0005,7.41,0.11,,,,,6600,0.03,4.23
WASP-79 b,3.66238,0.000005,0,,85.4,0.6,,,7.03,0.36,,,,,6600,0.03,4.2
WASP-79 b,3.6623907,0.0000007,,,,,2459196.644,0.0001,7.15,0.05,0.1072,0.0004,,,6600,0.03,4.2
WASP-78 b,2.1751763,0.0000047,0.092,,83.2,2.3,2455882.36,0.00053,,,,,,,6100,-0.35,
WASP-78 b,2.17517288,0.00000187,,,,,2459175.59,0.000863,,,,,,,6291,,3.9
WASP-78 b,2.175173,0.000003,0,,81.3,1.1,2456139.03,0.0005,3.37,0.11,,,,,6100,-0.35,3.84
WASP-78 b,2.1751847,0.0000004,,,,,2458440.377,0.00022,,,,,,,,,
WASP-78 b,2.1751852,0.0000005,,,,,2456922.098,0.0003,,,,,,,6100,,3.88
WASP-78 b,2.17517632,0.0000047,0,,83.2,2.3,2455882.359,0.00053,,,,,,,6100,,3.88
WASP-78 b,2.17518,0.000005,0,,83.2,1.95,,,3.54,0.21,,,,,6100,-0.35,4.1
WASP-78 b,2.1751838,0.0000016,,,,,2459199.516,0.0003,3.83,0.03,0.0852,0.0005,,,6100,-0.35,4.1
WASP-77 A b,1.3600309,0.000002,0,,89.4,0.4,2455870.45,0.00014,,,,,,,5500,0,4.33
WASP-77 A b,1.36002922,0.00000013,,,,,2456663.348,0.00012,,,,,,,5500,0,4.33
WASP-77 A b,1.4,,0,,,,,,,,,,,,5500,,
WASP-77 A b,1.36002869,0.00000016,,,,,2457658.889,0.00014,,,,,,,,,
WASP-77 A b,1.36003,0.000002,0,,89.4,0.55,,,5.43,0.12,,,,,5365,-0.34,4.33
WASP-77 A b,1.36002828,0.00000021,,,,,2459168.521,0.000056,,,,,,,5500,,4.48
WASP-77 A b,1.36002854,0.00000062,0.0074,0.0069,88.91,0.74,2457420.884,0.0008,5.332,0.057,0.13354,0.00074,-166,66,5617,-0.1,4.48
WASP-77 A b,1.3600306,0.0000012,0,,89.4,0.7,2455870.45,0.00014,,,0.13012,0.00065,,,5500,0,4.33
WASP-77 A b,1.3600309,0.000002,0.0075,,89.4,0.4,2455870.451,0.00014,,,,,,,5500,0,
WASP-76 b,1.80988058,0.00000018,,,,,2458080.626,0.00013,,,,,,,,,
WASP-76 b,1.80988108,0.0000004,,,,,2459448.895,0.000097,,,,,,,6278.2,,3.97
WASP-76 b,1.8098806,0.0000007,,,,,2457273.419,0.0005,,,,,,,6250,0.23,4.13
WASP-76 b,1.809886,0.000001,0,,88,1.3,2456107.855,0.00034,,,,,,,6250,0.23,4.13
WASP-75 b,2.484193,0.000003,0,,82,0.3,2456016.267,0.0003,,,,,,,6100,0.07,4.29
WASP-75 b,2.4841939,,,,,,2456980.136,,,,0.1042,,,,5994,,
WASP-75 b,2.4841981,0.0000032,,,,,2456977.651,0.000049,6.66,0.15,0.1077,0.0029,,,,,
WASP-75 b,2.48419726,0.00000062,,,,,2457009.946,0.00049,,,,,,,,,
WASP-75 b,2.484193,0.000003,0.056,,82,0.3,2456016.267,0.0003,,,,,,,6100,0.07,
WASP-75 b,2.48450535,,,,,,2456982.616,,,,,,,,6089,,4.28
WASP-75 b,2.4841905,0.000005,,,,,2456982.62,0.000072,,,0.1031,0.00043,,,6090,,4.22
WASP-75 b,2.4841987,0.0000006,,,,,2457340.345,0.0003,,,,,,,6100,0.07,4.29
WASP-75 b,2.4841967,0.0000008,,,,,2459469.301,0.000806,,,,,,,6089,,4.28
WASP-74 b,2.13775,0.000001,0.03,,79.81,0.24,2456506.893,0.0002,,,,,,,5990,0.39,
WASP-74 b,2.13775,0.000001,0,,79.81,0.24,,,4.86,0.2,,,,,5990,0.39,4.39
WASP-74 b,2.1377445,0.0000018,,,79.86,0.21,2457173.872,0.00018,,,0.09034,0.00063,,,5984,0.34,4.14
WASP-74 b,2.1377512,0.0000019,,,,,2457173.872,0.00024,,,,,,,,,
WASP-74 b,2.1377516,0.0000006,,,,,2457205.938,0.0001,,,,,,,5970,0.39,4.18
WASP-74 b,2.13775,0.000001,0,,79.81,0.24,2456506.892,0.0002,,,,,,,5970,0.39,4.18
WASP-73 b,4.0872977,0.0000038,,,,,2459059.3,0.00049,5.24,0.23,0.058,0.0005,,,6030,0.14,3.93
WASP-73 b,4.08722,0.00022,0,,87.4,1.8,2456128.706,0.0011,5.73,0.18,0.057,0.003,,,6036,0.14,3.93
